,name,longitude,latitude,total_pop,area,reachfactor,geometry,type,city,cluster,address,zipcode,Lat,Long,source,url,notes,URL 2,geometry_y,total,men,women
45,Politecnico Open unix Labs,9.230417983925612,45.47734705354876,63587.0,3952195.24,0.8051,"POLYGON ((9.215101 45.47745, 9.215138 45.47473, 9.215168 45.473096, 9.215177 45.472762, 9.215364 45.472253, 9.216395 45.471458, 9.22151 45.469141, 9.226169 45.466479, 9.230344 45.464671, 9.230461 45.464672, 9.233071 45.465958, 9.236382 45.467656, 9.238118 45.469105, 9.239502 45.470466, 9.239508 45.470501, 9.239453 45.470829, 9.238035 45.472761, 9.2368 45.47359, 9.235688 45.476577, 9.240194 45.479684, 9.241905 45.479309, 9.241943 45.479318, 9.24246 45.480731, 9.243005 45.482173, 9.24268 45.4838, 9.242575 45.483955, 9.24247 45.484064, 9.23835 45.48688, 9.237875 45.487184, 9.235377 45.488007, 9.230524 45.48985, 9.230039 45.489846, 9.229152 45.489774, 9.229091 45.489734, 9.229041 45.489696, 9.227061 45.487741, 9.223164 45.48613, 9.220907 45.485145, 9.217533 45.482882, 9.215132 45.479064, 9.215101 45.47745))",Hackerspace,Milano,MI,Via Giovanni Celoria 7,20133.0,45.47734705354876,9.230417983925612,Hackerspaces.org,https://wiki.hackerspaces.org/Politecnico_Open_unix_Labs,,,POINT (9.230417983925612 45.47734705354876),63526,26672,29851
51,Recipient,9.148734090413498,45.501912961893474,30996.0,3311805.29,0.6747000000000001,"POLYGON ((9.133367 45.500252, 9.133373 45.500242, 9.134257999999999 45.498817, 9.134421 45.498554, 9.136011 45.496127, 9.13778 45.493237, 9.138069 45.492973, 9.138301 45.4929, 9.138301 45.4929, 9.138625 45.492799, 9.144255 45.492273, 9.14954 45.491968, 9.153365 45.492418, 9.155901 45.492838, 9.156433 45.49298, 9.158347 45.494077, 9.160482 45.496976, 9.162747 45.501396, 9.163314 45.503495, 9.163222 45.504387, 9.163218 45.504394, 9.162196 45.504941, 9.161276 45.50531, 9.161264 45.505308, 9.160721 45.505069, 9.157546 45.503945, 9.154846 45.503322, 9.151046 45.502596, 9.150615 45.507984, 9.150241 45.510055, 9.15021 45.510175, 9.149901 45.510486, 9.149603 45.510778, 9.148937 45.511169, 9.147441 45.511525, 9.147414 45.511521, 9.147386 45.511517, 9.146267 45.510042, 9.140846 45.509224, 9.139643 45.509355, 9.138925 45.509481, 9.13872 45.509448, 9.1376 45.509277, 9.137536 45.509224, 9.137374 45.508955, 9.134738 45.504318, 9.133367 45.500252))",Makerspace,Milano,MI,via Villapizzone 10,20156.0,45.501912961893474,9.148734090413498,Manually added,http://recipient.cc/,,,POINT (9.148734090413498 45.501912961893474),29219,13340,13407
52,Share Makerspace,9.177184693543932,45.56040465900402,11656.0,2356006.92,0.48,"POLYGON ((9.165432 45.560931, 9.165585 45.56076, 9.165612 45.560732, 9.166253 45.560129, 9.166398 45.559991, 9.166543 45.559853, 9.166685 45.559743, 9.166827 45.559632, 9.168663 45.558011, 9.17168 45.554116, 9.174477 45.552093, 9.179327 45.550557, 9.180381 45.550041, 9.181134 45.549988, 9.181482 45.550082, 9.182575 45.550628, 9.184703 45.552022, 9.187061 45.556534, 9.189825 45.558749, 9.190596 45.560646, 9.190509 45.560995, 9.190411 45.561065, 9.185868 45.563801, 9.18386 45.563188, 9.18349 45.563075, 9.183333 45.563027, 9.181858 45.562272, 9.180608 45.561927, 9.17701 45.566536, 9.176922 45.566885, 9.171808 45.568893, 9.171448 45.568894, 9.168895 45.567915, 9.168563 45.567773, 9.166636 45.565172, 9.16656 45.564973, 9.165432 45.560931))",Makerspace,Cusano Milanino,MI,"Via Giuseppe Zucchi, 39/G/Interno 20",20095.0,45.56040465900402,9.177184693543932,Manually added,https://www.sharemakers.it/,,,POINT (9.177184693543932 45.56040465900402),12282,5692,5788
54,SuperForma Lab,9.173071843986556,45.45759422962854,57463.0,4535136.81,0.9239,"POLYGON ((9.157193 45.453209, 9.15799 45.45195, 9.158063 45.451839, 9.158233 45.451594, 9.159637 45.450823, 9.165005 45.448348, 9.165716 45.447832, 9.167429 45.447121, 9.171688 45.447463, 9.174604 45.448058, 9.179044 45.447718, 9.179129 45.447716, 9.180337 45.447836, 9.180857 45.447902, 9.186016 45.450377, 9.186054 45.450405, 9.186054 45.450405, 9.186095 45.450435, 9.186353 45.452356, 9.187514 45.456593, 9.187693 45.457102, 9.187835 45.463084, 9.187795 45.463139, 9.187424 45.463604, 9.18741 45.463615, 9.186073 45.464513, 9.185224 45.464704, 9.185039 45.464726, 9.181851 45.465469, 9.178834 45.467586, 9.176832 45.468724, 9.175148 45.468525, 9.169912 45.467552, 9.169591 45.467493, 9.164271 45.466223, 9.162653 45.466335, 9.162636 45.46633, 9.160453 45.46436, 9.158901 45.462095, 9.157925 45.458904, 9.157204 45.453307, 9.157193 45.453209))",Service,Milano,MI,"Via Fabio Mangone, 1/A,",20123.0,45.45759422962854,9.173071843986556,Comune.milano.it,http://www.superforma.xyz/,,,POINT (9.173071843986556 45.45759422962854),56812,24539,27585
55,TECHINNOVA S.P.A.,9.163592542328216,45.50618882074729,21687.0,3458367.77,0.7045,"POLYGON ((9.151628 45.509879, 9.15181 45.509516, 9.152944 45.504197, 9.151776 45.502997, 9.15167 45.502505, 9.15165 45.502238, 9.152793 45.499435, 9.153532 45.499084, 9.156163 45.498823, 9.156693 45.498775, 9.157241 45.498907, 9.161458 45.498758, 9.163346 45.495693, 9.165937 45.495541, 9.171803 45.495362, 9.171887 45.495374, 9.171888 45.495375, 9.173574 45.498780000000004, 9.176589 45.503665, 9.177339 45.504908, 9.177548 45.508226, 9.177938 45.510972, 9.177472999999999 45.511633, 9.177165 45.511875, 9.175854 45.512036, 9.172298 45.512925, 9.169007 45.514525, 9.163194 45.515705, 9.162974 45.515758, 9.158635 45.51511, 9.157129 45.514153, 9.154846 45.511494, 9.151628 45.509879))",Makerspace,Milano,MI,"Via G. Durando, 38/A",20158.0,45.50618882074729,9.163592542328216,Comune.milano.it,https://techinnova.eu/,,,POINT (9.163592542328216 45.50618882074729),23274,10943,10670
56,The FabLab: Make in Milano,9.207912905011613,45.4440458211788,41302.0,3877922.8,0.79,"POLYGON ((9.191755 45.443324, 9.191769 45.443025, 9.191772 45.442962, 9.193377 45.441441, 9.193528 45.441316, 9.197998 45.438381, 9.198446 45.437469, 9.198756 45.436975, 9.203027 45.434577, 9.206467 45.433062, 9.206656 45.433061, 9.212353 45.434432, 9.214227 45.433759, 9.215401 45.433567, 9.215489 45.433593, 9.218011 45.435208, 9.219442 45.436358, 9.221274 45.437868, 9.221398 45.437993, 9.22286 45.441726, 9.22393 45.445827, 9.22393 45.446005, 9.223107 45.447944, 9.218984 45.450926, 9.21896 45.450941, 9.213927 45.453237, 9.213881 45.453256, 9.213484 45.453296, 9.210858 45.452899, 9.206002 45.45221, 9.20454 45.452064, 9.204289 45.452008, 9.204266 45.45199, 9.203512 45.450637, 9.199103 45.448513, 9.196975 45.448418, 9.196781 45.448409, 9.194328 45.446636, 9.193717 45.446165, 9.192808 45.444925, 9.191755 45.443324))",Fab Lab,Milano,MI,"Via Arcivescovo Calabiana, 6",20139.0,45.4440458211788,9.207912905011613,"Fablabs.io, Comune.milano.it",https://www.thefablab.it/,,,POINT (9.207912905011613 45.4440458211788),40325,17971,18804
57,TinkeringZone Maker space,9.171361664345516,45.46167853154012,44822.0,3448109.56,0.7024,"POLYGON ((9.159363 45.457565, 9.159437 45.457309, 9.159991 45.455484, 9.160519 45.453835, 9.160567 45.453756, 9.16072 45.453666, 9.161874 45.453146, 9.163088 45.452679, 9.165693 45.451825, 9.16743 45.451383, 9.169643 45.450955, 9.171987 45.451283, 9.17587 45.451781, 9.180088 45.452456, 9.182188 45.454067, 9.184611 45.458314, 9.184592 45.459738, 9.183466 45.462786, 9.182317 45.466669, 9.182215 45.466826, 9.179095 45.470418, 9.178997 45.470486, 9.178979 45.4705, 9.177373 45.470585, 9.174704 45.470263, 9.173348 45.470014, 9.168724 45.469139, 9.165927 45.468615, 9.161762 45.467614, 9.161721 45.467603, 9.160478 45.466197, 9.159961 45.464144, 9.159685 45.462709, 9.159363 45.457565))",Museum Lab,Milano,MI,"Via S. Vittore, 21",20123.0,45.46167853154012,9.171361664345516,Comune.milano.it,https://www.museoscienza.org/it/offerta/tinkering-zone,,,POINT (9.171361664345516 45.46167853154012),43875,18903,21295
59,Vectorealism FabLab,9.231811340285022,45.43830458381551,23657.0,2788325.49,0.5680000000000001,"POLYGON ((9.217535 45.440751, 9.217585 45.437144, 9.21977 45.432772, 9.220598 45.431107, 9.222899 45.429129, 9.223735 45.428936, 9.225103 45.428988, 9.23029 45.431687, 9.232053 45.430348, 9.23223 45.430264, 9.232232 45.430263, 9.232541 45.430117, 9.232912 45.430147, 9.238513 45.428802, 9.241079 45.428913, 9.241901 45.429181, 9.243858 45.430201, 9.243872 45.430212, 9.243707 45.432679, 9.243698 45.432769, 9.242811 45.436255, 9.242714 45.436397, 9.242683 45.436415, 9.241311 45.436596, 9.240656 45.436668, 9.240364 45.436709, 9.240179 45.43664, 9.236435 45.434479, 9.233416 45.437146, 9.233078 45.441119, 9.233894 45.444025, 9.231283 45.446711, 9.230759 45.447116, 9.22995 45.447725, 9.229899 45.447756, 9.229014 45.448156, 9.228786 45.448156, 9.223746 45.448002, 9.223511 45.447991, 9.222668 45.447925, 9.220796 45.44624, 9.217926 45.444105, 9.217633 45.44382, 9.217535 45.440751))",Service,Milano,MI,"Via Carlo Boncompagni, 57",20139.0,45.43830458381551,9.231811340285022,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/vectorealismfablab,,,POINT (9.231811340285022 45.43830458381551),25868,11191,11600
61,WeMake | Makerspace Fablab,9.1751237151523,45.499039020857865,40523.0,2995356.31,0.6102000000000001,"POLYGON ((9.162666 45.499088, 9.163654 45.495792, 9.163903 45.495673, 9.165404 45.496479, 9.170921 45.496269, 9.173609 45.494911, 9.177344 45.495476, 9.179895 45.492752, 9.183202 45.491329, 9.185916 45.492423, 9.185953 45.492438, 9.186229 45.492555, 9.186732 45.492965, 9.190233 45.496146, 9.190253 45.496182, 9.190083 45.498304, 9.190079 45.498341, 9.189244 45.499497, 9.186813 45.504861, 9.184788 45.507177, 9.183504 45.507826, 9.181752 45.508577, 9.177913 45.50997, 9.172196 45.510774, 9.171754 45.510638, 9.170605 45.50936, 9.166714 45.50565, 9.165501 45.505669, 9.165441 45.505652, 9.163938 45.504018, 9.163765 45.503634, 9.162666 45.499088))",Fab Lab,Milano,MI,"Via Giuseppe Guerzoni, 23",20158.0,45.499039020857865,9.1751237151523,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/wemake,,,POINT (9.1751237151523 45.499039020857865),38691,18076,17780
62,YATTA,9.182956814039898,45.48277607438585,46825.0,4188902.97,0.8534,"POLYGON ((9.168364 45.483272, 9.170923 45.478504, 9.173514 45.476001, 9.173956 45.475695, 9.176554 45.474263, 9.179989 45.472862, 9.184175 45.471841, 9.187071 45.472025, 9.187586 45.472084, 9.187617 45.4721, 9.189678 45.47337, 9.191621 45.474514, 9.194242 45.475798, 9.197229 45.476786, 9.197764 45.476997, 9.198339 45.477403, 9.198348 45.477412, 9.198529 45.480469, 9.1985 45.480777, 9.198383 45.481487, 9.196911 45.486542, 9.194776 45.488988, 9.192202 45.491044, 9.188542 45.49294, 9.185747 45.494802, 9.185694 45.494812, 9.18208 45.495123, 9.180743 45.494346, 9.180603 45.494013, 9.181234 45.491507, 9.175612 45.490189, 9.175262 45.490666, 9.172934 45.490484, 9.171322 45.489861, 9.169907 45.487445, 9.168433 45.484495, 9.168399 45.484341, 9.168364 45.483272))",Makerspace,Milano,MI,"Viale Pasubio, 14",20154.0,45.48277607438585,9.182956814039898,Comune.milano.it,https://www.yatta.xyz/,,,POINT (9.182956814039898 45.48277607438585),45320,19993,21761
