Name,Type,City,Cluster,Address,CAP,Lat,Long,Source,URL,Notes,URL 2
FabLabMilano - Fare le Idee / ShapeMode / Locanda Officina Monumentale,Fab Lab / Incubator-Accelerator,Milan,MI,Via Galileo Ferraris 1,20154,45.489169441064355,9.173905038143518,Fablabs.io,https://fablabs.io/labs/fablabmilano,,
Frankestein Garage,Fab Lab,Milan,MI,,,,,"Fablabs.io, Hackerspaces.org",https://fablabs.io/labs/frankensteingarage,Closed,
Fundació Avismón,Foundation,Barcelona,BCN,"Carrer dels Jocs Florals, 59",08014,41.37410738070746,2.134948415342522,Ajuntament.barcelona.cat,http://www.avismon.org/,,
Fundació CIM,University Lab / Industry R&D Lab,Barcelona,BCN,C/ Llorens i Artigas 12,08028,41.38334184437175,2.116430878222591,Manually added,https://fundaciocim.org/,,
Fundació Comtal,Foundation,Barcelona,BCN,"Carrer Forn de la Fonda, 5",08003,41.386901285786685,2.1795289999999996,Ajuntament.barcelona.cat,https://comtal.org/,,
Green Fab Lab,Fab Lab,Cerdanyola del Vallès,BCN,"Ctra. BV-1415 (Horta-Cerdanyola), km 7",08290,41.45039383574725,2.133441411313727,Fablabs.io,,,
HP 3D Printing and Digital Manufacturing Center of Excellence,Industry R&D Lab,Sant Cugat del Valles,BCN,Cami de Can Graells 1-21 (Bldg BCN01),08174,41.493649654905916,2.062887284657477,Manually added,https://press.hp.com/us/en/press-releases/2019/hp-opens-new-3d-printing-and-digital-manufacturing-center-of-excellence.html,,
IAM3DHUB / Dfactory Barcelona,Incubator-Accelerator,Barcelona,BCN,"Carrer 27, 10-16 Sector BZ Zona Franca",08040,41.33648723444821,2.1380187460266384,Manually added,https://www.dfactorybcn.org/,,
Ideas Bit Factory,Service,Milan,MI,"Via Enrico Cosenz, 44/4",20158,45.51120517808544,9.166396115376823,Manually added,https://www.ideas-bit-factory.it/,Closed,
IED Maker Lab,University Lab,Barcelona,BCN,"Carrer de Biada, 6",08012,41.40511327003595, 2.1546215176439025,Manually added,https://www.ied.edu/envira/barcelona-maker-lab,Closed,
kernelpanic,Hackerspace,Barcelona,BCN,,,,,Hackerspaces.org,https://wiki.hackerspaces.org/KernelPanic,Closed,
Kinlab,DIYBio Lab,Milan,MI,Piazza Segesta 3,20148,45.47542892969495,9.137325384465216,Manually added,http://kinlab.it/,,
Laboratorio Creativo Metropolitano,Makerspace,Milan,MI,Via Soderini 24,20146,45.45707118196757, 9.142506257671778,Comune.milano.it,https://www.afolmet.it/index.php/laboratorio-creativo-metropolitano/,,
LSCongres,Fab Lab,Barcelona,BCN,"Carrer del Cardenal Tedeschini, 50",08027,41.426002192952815,2.1820259689844854,Fablabs.io,https://fablabs.io/labs/lscongres,,
MADE Makerspace Barcelona,Fab Lab,Barcelona,BCN,Carrer Noguera Pallaresa 59-61,08014,41.373238104403214,2.1410842824754495,"Fablabs.io, Hackerspaces.org, Makerspaces.make.co, Ajuntament.barcelona.cat",,,
Maker Convent,Makerspace,Barcelona,BCN,Plaça de l’Acadèmia s/n,8003,41.387737414275676,2.1810135401474513,"Makerspaces.make.co, Ajuntament.barcelona.cat",https://conventagusti.com/maker/,,
Makers Hub,Makerspace,Milan,MI,"Via Enrico Cosenz, 44/4",20158,45.50743694550688,9.163090625635789,Comune.milano.it,https://www.makershub.it/,,
Makers Zone BCN,Makerspace,Barcelona,BCN,Carrer de Ricart 36,08004,41.37298180510111,2.157535855490096,Ajuntament.barcelona.cat,https://mzbcn.es/,,
MakerspaceBCN,Makerspace,Barcelona,BCN,,,,,Makerspaces.make.co,http://makerspacebcn.org/,Closed,
Milano Luiss Hub,Makerspace,Milan,MI,"Via Massimo D'Azeglio, 3",20154,45.4832816922208,9.184259894565585,Manually added,http://www.milanoluisshub.it/,,
Miocugino - officina di gesta e ingegno,Makerspace,Milan,MI,via argelati 35,20143,45.44821912386584,9.16895578261383,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/miocugino,,
Multilab Rozzano,Fab Lab,Rozzano,MI,Via Matteotti 33,20089,45.37621908135071,9.145409811447049,Fablabs.io,https://fablabs.io/labs/multilabrozzano,,
Opendot,Fab Lab,Milan,MI,"Via Tertulliano, 70",20137,45.45034823105788,9.22096801664852,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/opendot,,
Openspace,Hackerspace,Milan,MI,via Bardolino 31,20142,45.425560926316294,9.141823780222913,Hackerspaces.org,https://wiki.hackerspaces.org/Openspace,Closed,
PechBlenda Lab,DIYBio Lab,Barcelona,BCN,,,,,Sphere.diybio.org,https://sphere.diybio.org/labs/pechblenda/,Closed,
Polifactory,University Lab,Milan,MI,"Via Privata Simone Schiaffino, 22-30",20158,45.506449418184594,9.166295669123226,Fablabs.io,https://fablabs.io/labs/polifactory,,
Politecnico Open unix Labs,Hackerspace,Milan,MI,Via Giovanni Celoria 7,20133,45.477347053548755,9.230417983925612,Hackerspaces.org,https://wiki.hackerspaces.org/Politecnico_Open_unix_Labs,,
Punt Multimedia FAB Casa del Mig,City Space,Barcelona,BCN,"Carrer de Muntadas, 5",08014,41.376988850148955,2.140514455999282,Ajuntament.barcelona.cat,https://www.puntmultimedia.org/,,
Punt Multimedia La Marina,City Space,Barcelona,BCN,Casa del Rellotge,08037,41.35827229815483,2.141575611310696,Ajuntament.barcelona.cat,https://puntmultimedialamarina.cat/,,
Punt Òmnia Casal Cívic Barcelona - Verdum - Fundació Pare Manel,City Space,Barcelona,BCN,"Carrer Luz Casanova, 8",08042,41.444393125834125,2.175498282477786,Manually added,https://xarxaomnia.gencat.cat/punt-omnia/punt-mnia-casal-c-vic-barcelona-verdum-fundaci-pare-manel,,
Racó.net del Guinardó,City Space,Barcelona,BCN,"Ronda Guinardó, 113-141",08041,41.41642633255901,2.1736128554616285,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ccivics/guinardo/raconet/,,
RavalFab / Colectic,Fab Lab,Barcelona,BCN,"Carrer dels Salvador, 8",08001,41.37881289202178,2.164598368982968,Ajuntament.barcelona.cat,https://colectic.coop/projecte/ravalfab,,
Recipient,Makerspace,Milan,MI,via Villapizzone 10,20156,45.501912961893474,9.148734090413498,Manually added,http://recipient.cc/,,
Ripolab Hacklab,Hackerspace,Barcelona,BCN,,,,,Manually added,https://www.ripolab.org/,Closed,
Share Makerspace,Makerspace,Cusano Milanino,MI,"Via Giuseppe Zucchi, 39/G/Interno 20",20095,45.56040465900402,9.177184693543932,Manually added,https://www.sharemakers.it/,,
Soko Tech,Fab Lab,Barcelona,BCN,"Carrer de Vallès i Ribot, 36",08027,41.42453540945304,2.1888825978201867,"Fablabs.io, Ajuntament.barcelona.cat",https://soko.tech/,,
SuperForma Lab,Service,Milan,MI,"Via Fabio Mangone, 1/A,",20123,45.45759422962854,9.173071843986557,Comune.milano.it,http://www.superforma.xyz/,,
TECHINNOVA S.P.A.,Makerspace,Milan,MI,"Via G. Durando, 38/A",20158,45.50618882074729,9.163592542328217,Comune.milano.it,https://techinnova.eu/,,
The FabLab: Make in Milano,Fab Lab,Milan,MI,"Via Arcivescovo Calabiana, 6",20139,45.4440458211788,9.207912905011613,"Fablabs.io, Comune.milano.it",https://www.thefablab.it/,,
TinkeringZone Maker space,Museum Lab,Milan,MI,"Via S. Vittore, 21",20123,45.461678531540116,9.171361664345515,Comune.milano.it,https://www.museoscienza.org/it/offerta/tinkering-zone,,
TMDC,Makerspace,Barcelona,BCN,"Rambla de Prim, 258",08020,41.42674586957263,2.199644726656069,Ajuntament.barcelona.cat,https://www.tmdc.es/,,
Vectorealism FabLab,Service,Milan,MI,"Via Carlo Boncompagni, 57",20139,45.43830458381551,9.231811340285022,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/vectorealismfablab,,
W!LAB,Fab Lab,Viladecans,BCN,"Parc de Can Xic, 1",08840,41.315677635552234,2.014245119250698,Fablabs.io,https://fablabs.io/labs/wilab,,
WeMake | Makerspace Fablab,Fab Lab,Milan,MI,"Via Giuseppe Guerzoni, 23",20158,45.499039020857865,9.175123715152301,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/wemake,,
YATTA,Makerspace,Milan,MI,"Viale Pasubio, 14",20154,45.48277607438585,9.182956814039898,Comune.milano.it,https://www.yatta.xyz/,,
Fundació Pare Manel,Foundation,Barcelona,BCN,"Via Favència, 244",08042,41.44456425814069,2.175101047092812,Ajuntament.barcelona.cat,http://www.paremanel.org/,,
+Lab Politecnico di Milano,University Lab,Milan,MI,"Piazza Leonardo da Vinci, 32",20133,45.47783176653881,9.227890301302203,Manually added,https://piulab.it/,,
MaBa.SAPERLab Politecnico di Milano,University Lab,Milan,MI,"Via Ampère 2, Campus Bonardi, building 11, basement floor",20133,45.47973884741817,9.22714120415535,Manually added,https://www.dabc.polimi.it/en/abclab/le-unita/mabasaperlab/,,
