,name,longitude,latitude,total_pop,area,reachfactor,geometry,type,city,cluster,address,zipcode,Lat,Long,source,url,notes,URL 2,geometry_y,total,men,women
10,BDN Lab,2.238114638501468,41.44280114524807,55719.0,2943272.84,0.5996,"POLYGON ((2.225783 41.446742, 2.226041 41.444118, 2.225854 41.43866, 2.226268 41.437931, 2.228247 41.43439, 2.22849 41.434124, 2.2333439999999998 41.434298, 2.236282 41.434389, 2.238206 41.434467, 2.241228 41.437033, 2.241842 41.437806, 2.242271 41.43834, 2.242396 41.438491, 2.242457 41.438582, 2.242521 41.438677, 2.24385 41.440579, 2.247126 41.442724, 2.247206 41.44282, 2.247287 41.442915, 2.248755 41.445805, 2.248784 41.448873, 2.248256 41.450511, 2.24819 41.450635, 2.248031 41.450792, 2.246506 41.451256, 2.244353 41.451675, 2.24223 41.451993, 2.240142 41.451653, 2.23469 41.451487, 2.233165 41.451109, 2.229729 41.44968, 2.227375 41.448621, 2.226332 41.447983, 2.226099 41.447709, 2.225799 41.447101, 2.225783 41.446742))",Fab Lab,Badalona,BCN,"Carrer del General Weyler, 128",8912.0,41.44280114524807,2.238114638501468,Manually added,https://bdnlab.org/,,,POINT (2.238114638501468 41.44280114524807),47856,23834,24022
11,Camins Makers,2.111369796301172,41.38878736307806,61277.0,3546987.51,0.7226,"POLYGON ((2.100755 41.388343, 2.102194 41.383073, 2.103698 41.380828, 2.105955 41.379843, 2.109563 41.380789, 2.115349 41.379513, 2.115503 41.379352, 2.115853 41.37932, 2.1197 41.380806, 2.123115 41.385163, 2.12385 41.38582, 2.124104 41.386042, 2.12497 41.388538, 2.125172 41.391993, 2.125167 41.392345, 2.122737 41.395441, 2.121763 41.396113, 2.118008 41.39809, 2.1159689999999998 41.399306, 2.11588 41.399305, 2.114556 41.39927, 2.114409 41.399266, 2.113295 41.39921, 2.110264 41.398909, 2.105741 41.398141, 2.105548 41.398089, 2.105385 41.397982, 2.104251 41.397057, 2.102409 41.395324, 2.102342 41.395058, 2.101897 41.392125, 2.100755 41.388343))",University Lab,Barcelona,BCN,C/ Jordi Girona 1-3,8034.0,41.38878736307806,2.1113697963011724,Manually added,https://caminsmakers.upc.edu/,,,POINT (2.1113697963011724 41.38878736307806),63413,30119,33294
12,Cibernarium Poble Nou (Barcelona Activa),2.194483373013783,41.40316365746117,94265.0,4334480.56,0.883,"POLYGON ((2.181342 41.401218, 2.182405 41.396165, 2.18294 41.394747, 2.183267 41.39456, 2.184946 41.39388, 2.188042 41.393436, 2.1913489999999998 41.392575, 2.193772 41.392689, 2.196737 41.392915, 2.2019159999999998 41.3933, 2.20237 41.39334, 2.205697 41.395005, 2.205738 41.395027, 2.206049 41.395239, 2.206082 41.395268, 2.206277 41.396084, 2.206637 41.397852, 2.206643 41.397923, 2.2067769999999998 41.400857, 2.207755 41.405863, 2.207756 41.40589, 2.207766 41.408749, 2.206149 41.410109, 2.203948 41.41153, 2.202487 41.412295, 2.200991 41.412694, 2.199129 41.412863, 2.197759 41.412855, 2.192238 41.413273, 2.189742 41.412914, 2.18935 41.412763, 2.188683 41.412503, 2.188542 41.412394, 2.185982 41.410678, 2.182557 41.409482, 2.182459 41.409408, 2.181864 41.408952, 2.181523 41.406768, 2.181342 41.401218))",Incubator-Accelerator,Barcelona,BCN,"Roc Boronat, 117",8018.0,41.40316365746117,2.194483373013783,Ajuntament.barcelona.cat,https://cibernarium.barcelonactiva.cat/en/edifici-mediatic,,,POINT (2.194483373013783 41.40316365746117),70845,33564,37282
13,Cibernarium Parc Tecnologic (Barcelona Activa),2.169056075636853,41.43746855841409,82690.0,4300141.48,0.876,"POLYGON ((2.154543 41.439983, 2.155089 41.436545, 2.157763 41.431988, 2.158498 41.430689, 2.158684 41.430492, 2.158767 41.43042, 2.159197 41.430192, 2.159642 41.429958, 2.159776 41.429892, 2.162177 41.428855, 2.166989 41.427306, 2.167138 41.427257, 2.172 41.426938, 2.172094 41.426941, 2.172382 41.426953, 2.173458 41.427, 2.173496 41.427004, 2.17766 41.42838, 2.179378 41.429678, 2.183026 41.432962, 2.183299 41.43325, 2.183878 41.43442, 2.184144 41.436259, 2.184179 41.436693, 2.18387 41.438523, 2.183371 41.441368, 2.180093 41.444456, 2.178318 41.446001, 2.178314 41.446003, 2.17823 41.446043, 2.178211 41.446052, 2.176023 41.446785, 2.172812 41.447753, 2.172803 41.447754, 2.171668 41.447753, 2.166465 41.446739, 2.1658749999999998 41.446591, 2.161489 41.445524, 2.158387 41.443012, 2.154595 41.440037, 2.154543 41.439983))",Incubator-Accelerator,Barcelona,BCN,"Carrer Marie Curie, 8-14",8042.0,41.43746855841409,2.169056075636853,Ajuntament.barcelona.cat,https://cibernarium.barcelonactiva.cat/cibernarium-noubarris,,,POINT (2.169056075636853 41.43746855841409),101652,48159,53493
14,Club Maker de l'American Space - Biblioteca Fabra i Coats,2.1912362419994,41.43476043833471,86930.0,4157972.07,0.8471000000000001,"POLYGON ((2.176911 41.436008, 2.177605 41.433117, 2.17791 41.432251, 2.179102 41.430171, 2.180701 41.428435, 2.1826119999999998 41.42681, 2.1841720000000002 41.425909, 2.189324 41.424118, 2.189362 41.42411, 2.192024 41.423861, 2.192834 41.424423, 2.193488 41.425138, 2.193577 41.425282, 2.193557 41.425774, 2.193816 41.427887, 2.199513 41.428278, 2.200394 41.428327, 2.200489 41.428382, 2.203497 41.431202, 2.205213 41.432084, 2.205274 41.432157, 2.205997 41.435494, 2.206153 41.436339, 2.206152 41.436366, 2.20595 41.437029, 2.205927 41.437062, 2.201931 41.441298, 2.197215 41.444548, 2.197153 41.44456, 2.191662 41.446257, 2.190267 41.446951, 2.190132 41.447003, 2.188247 41.446498, 2.187313 41.446177, 2.18336 41.443514, 2.18074 41.441071, 2.177978 41.439126, 2.17794 41.439088, 2.176911 41.436008))",Library,Barcelona,BCN,"Carrer del Segre, 24",8030.0,41.43476043833471,2.1912362419994,Manually added,https://ajuntament.barcelona.cat/biblioteques/bibcanfabra/ca/detail/american-space-club-maker-2021-2022-a-carrec-de-ferran-fabregas_99400655092,,,POINT (2.1912362419994 41.43476043833471),106181,50304,55877
16,Danaus,2.203959826655459,41.40800712230815,100054.0,4859209.7,0.9899,"POLYGON ((2.188509 41.405174, 2.189042 41.402957, 2.191187 41.40061, 2.191502 41.400363, 2.19536 41.398065, 2.200228 41.397939, 2.204078 41.397782, 2.20846 41.398026, 2.21341 41.398132, 2.215481 41.399579, 2.215656 41.399886, 2.217096 41.403256999999996, 2.218645 41.407742999999996, 2.21908 41.410888, 2.216663 41.415883, 2.216562 41.415965, 2.216556 41.415969, 2.212949 41.417285, 2.208522 41.418257, 2.206549 41.418404, 2.20615 41.418357, 2.201874 41.417862, 2.200649 41.417741, 2.195808 41.417396, 2.192928 41.417078, 2.192683 41.417001, 2.192648 41.416975, 2.192284 41.416703, 2.192223 41.416657, 2.1921 41.416455, 2.191752 41.415067, 2.19103 41.412342, 2.189737 41.408782, 2.188509 41.405174))",Hackerspace,Barcelona,BCN,Av. Diagonal 114,8019.0,41.40800712230815,2.2039598266554594,"Hackerspaces.org, Makerspaces.make.co",https://wiki.hackerspaces.org/Danaus,,,POINT (2.2039598266554594 41.40800712230815),72470,34333,38137
17,Disseny Lab UAB,2.11142915549425,41.50068700446783,7462.0,2189054.7,0.446,"POLYGON ((2.099983 41.503213, 2.100018 41.500133, 2.101126 41.498668, 2.104195 41.496105, 2.105695 41.49459, 2.110509 41.494586, 2.11641 41.493816, 2.117067 41.493959, 2.119839 41.494752, 2.123209 41.495802, 2.123374 41.496122, 2.123385 41.496221, 2.12335 41.496816, 2.123281 41.497169, 2.122743 41.497727, 2.12268 41.497766, 2.122676 41.497768, 2.122616 41.497802, 2.12027 41.498988, 2.119074 41.503228, 2.118201 41.503518, 2.116479 41.503852, 2.116278 41.503889, 2.114967 41.5041, 2.110885 41.507853, 2.110665 41.508137, 2.1099 41.508607, 2.108665 41.509286, 2.108305 41.50931, 2.103865 41.508032, 2.101888 41.507758, 2.100487 41.505731, 2.100404 41.505549, 2.099983 41.503213))",University Lab,Cerdanyola del Vallès,BCN,"C/ Sitges S/N. Escola Enginyeria, Universitat Autonoma de Barcelona. ",8193.0,41.50068700446783,2.1114291554942506,Manually added,https://www.uab.cat/web/espacios/disseny-lab/equipamiento-del-design-lab-1345823382113.html,,,POINT (2.1114291554942506 41.50068700446783),5301,2611,2690
18,DIY Bio Barcelona,2.1542502401473262,41.38304792762858,99832.0,4525465.36,0.9219,"POLYGON ((2.140364 41.381257, 2.14065 41.37943, 2.142561 41.376087, 2.142735 41.375817, 2.143016 41.375546, 2.143203 41.37537, 2.145874 41.373397, 2.147408 41.37259, 2.150568 41.372688, 2.155626 41.372519, 2.161599 41.373044, 2.161653 41.373043, 2.162704 41.373036, 2.162926 41.373036, 2.163489 41.373035, 2.163568 41.373035, 2.164129 41.373195, 2.166418 41.375278, 2.167487 41.378342, 2.167686 41.379043, 2.16776 41.379458, 2.167148 41.385284, 2.166795 41.388336, 2.166473 41.390939, 2.166382 41.39133, 2.166124 41.391526, 2.165142 41.392236, 2.164143 41.392399, 2.161036 41.392764, 2.156328 41.392868, 2.154047 41.392869, 2.151258 41.392762, 2.148947 41.392637, 2.148874 41.392631, 2.146359 41.392381, 2.145753 41.392054, 2.14265 41.389698, 2.142364 41.389334, 2.141962 41.387487, 2.140425 41.381937, 2.140369 41.381354, 2.140364 41.381257))",DIYBio Lab,Barcelona,BCN,Carrer Consell de Cent 159,8015.0,41.38304792762858,2.154250240147326,diybio.org,https://sphere.diybio.org/labs/diybiobcn/,,,POINT (2.154250240147326 41.38304792762858),96535,45734,50800
19,EASD Llotja - Sant Andreu,2.192606255566926,41.42758576749132,80707.0,3730175.23,0.7599,"POLYGON ((2.17711 41.428211, 2.180018 41.423394, 2.18074 41.422702, 2.18339 41.420157, 2.18821 41.416982, 2.189395 41.41661, 2.190267 41.416348, 2.190314 41.416347, 2.191447 41.416705, 2.193323 41.417518, 2.196993 41.419263, 2.198985 41.419791, 2.199441 41.420023, 2.199583 41.42012, 2.200433 41.422696, 2.200374 41.422897, 2.200771 41.428399, 2.201656 41.429491, 2.201724 41.429584, 2.201766 41.429643, 2.201749 41.429821, 2.201498 41.431839, 2.200365 41.432824, 2.197917 41.437268, 2.195352 41.43928, 2.195342 41.439282, 2.192976 41.439626, 2.192326 41.439627, 2.190063 41.439488, 2.184947 41.436802, 2.183835 41.436153, 2.179567 41.433423, 2.17715 41.429722, 2.177144 41.429536, 2.17711 41.428211))",University Lab,Barcelona,BCN,"Carrer del Pare Manyanet, 38",8027.0,41.42758576749132,2.1926062555669263,Ajuntament.barcelona.cat,http://www.llotja.cat/,,,POINT (2.1926062555669263 41.42758576749132),94184,44620,49563
20,"Elisava, Barcelona School of Design and Engineering",2.176560218873768,41.37867893900948,76835.0,4623604.96,0.9419000000000001,"POLYGON ((2.163237 41.37815, 2.163361 41.375385, 2.163705 41.374202, 2.164437 41.373192, 2.165873 41.371243, 2.167101 41.369829, 2.167717 41.369469, 2.168301 41.369137, 2.168653 41.369174, 2.171844 41.368836, 2.174891 41.367028, 2.174997 41.367008, 2.176827 41.368134, 2.182275 41.36828, 2.182524 41.364962, 2.182288 41.360541, 2.18141 41.358747, 2.184644 41.357165, 2.18734 41.361512, 2.187326 41.36207, 2.186227 41.365629, 2.186068 41.368558, 2.185839 41.371871, 2.183987 41.37425, 2.187602 41.378647, 2.187677 41.378664, 2.188793 41.379868, 2.189288 41.381784, 2.18951 41.382584, 2.189475 41.382672, 2.187833 41.385246, 2.185812 41.387067, 2.185693 41.387156, 2.180695 41.389732, 2.180501 41.389715, 2.176744 41.389, 2.173996 41.389285, 2.169423 41.388986, 2.167983 41.38891, 2.167939 41.388887, 2.16517 41.386105, 2.165093 41.38602, 2.165018 41.385852, 2.163607 41.380121, 2.163237 41.37815))",University Lab,Barcelona,BCN,La Rambla 30-32,8002.0,41.37867893900948,2.1765602188737683,Manually added,https://www.elisava.net/en/our-spaces/facilities,,,POINT (2.1765602188737683 41.37867893900948),78313,37102,41212
